"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021-10","Canada","2016A000011124","Employment","Males","25 years and over","Persons","249","thousands","3","v2091284","1.3.2.3","8885.8","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4405.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4401.5","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4434.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4497.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","25 to 44 years","Persons","249","thousands","3","v2091285","1.3.2.4","4524.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3778.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3774.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3781.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3818.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","45 to 64 years","Persons","249","thousands","3","v19650589","1.3.2.22","3805.4","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4333.6","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4314.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4324.7","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4380.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","45 years and over","Persons","249","thousands","3","v2091286","1.3.2.5","4361.5","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","6411.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","6403.0","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","6433.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","6517.1","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","25 to 54 years","Persons","249","thousands","3","v2091287","1.3.2.6","6537.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2328.2","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2312.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2325.8","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2360.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","55 years and over","Persons","249","thousands","3","v2091288","1.3.2.7","2348.3","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","9558.0","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","9656.4","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","9665.4","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","9559.7","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","15 to 64 years","Persons","249","thousands","3","v2091289","1.3.2.8","9567.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","484.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","566.5","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","534.1","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","419.0","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","15 to 19 years","Persons","249","thousands","3","v2091290","1.3.2.9","409.6","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","888.8","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","913.7","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","915.2","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","825.5","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","20 to 24 years","Persons","249","thousands","3","v2091291","1.3.2.10","828.2","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1070.9","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1063.1","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1079.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1086.2","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","25 to 29 years","Persons","249","thousands","3","v2091292","1.3.2.11","1082.8","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1135.3","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1145.6","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1153.6","","","","1"
"2021-09","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1168.7","","","","1"
"2021-10","Canada","2016A000011124","Employment","Males","30 to 34 years","Persons","249","thousands","3","v2091293","1.3.2.12","1194.1","","","","1"
"2021-06","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1124.7","","","","1"
"2021-07","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1115.3","","","","1"
"2021-08","Canada","2016A000011124","Employment","Males","35 to 39 years","Persons","249","thousands","3","v2091294","1.3.2.13","1111.8","","","","1"
